iter	Passed	Remaining
363	927	1620
364	930	1618
365	932	1614
366	934	1611
367	936	1608
368	938	1605
369	941	1602
370	943	1599
371	946	1597
372	948	1594
373	950	1591
374	952	1587
375	955	1584
376	956	1581
377	959	1578
378	961	1576
379	963	1572
380	966	1569
381	968	1566
382	970	1562
383	972	1560
384	975	1557
385	977	1555
386	980	1552
387	981	1548
388	983	1545
389	986	1542
390	988	1539
391	990	1536
392	993	1534
393	995	1531
394	997	1527
395	999	1524
396	1002	1522
397	1004	1519
398	1007	1516
399	1009	1514
400	1012	1511
401	1014	1508
402	1017	1506
403	1019	1503
404	1021	1500
405	1023	1497
406	1044	1522
407	1047	1520
408	1050	1517
409	1052	1514
410	1054	1511
411	1056	1507
412	1059	1505
413	1060	1500
414	1062	1497
415	1063	1493
416	1066	1490
417	1067	1486
418	1069	1483
419	1071	1480
420	1074	1477
421	1076	1474
422	1078	1470
423	1080	1467
424	1082	1464
425	1084	1461
426	1086	1457
427	1089	1455
428	1105	1471
429	1108	1469
430	1112	1468
431	1115	1467
432	1120	1467
433	1125	1467
434	1129	1466
435	1131	1464
436	1135	1462
437	1139	1461
438	1143	1461
439	1146	1459
440	1150	1458
441	1154	1458
442	1159	1457
443	1162	1455
444	1165	1453
445	1168	1451
446	1173	1451
447	1177	1450
448	1181	1449
449	1184	1448
450	1188	1446
451	1191	1444
452	1195	1443
453	1198	1441
454	1203	1441
455	1207	1440
456	1211	1439
457	1214	1437
458	1218	1436
459	1222	1434
460	1224	1432
461	1228	1430
462	1230	1427
463	1233	1425
464	1236	1422
465	1238	1419
466	1241	1417
467	1244	1414
468	1246	1411
469	1250	1409
470	1252	1406
471	1255	1403
472	1257	1400
473	1260	1398
474	1262	1395
475	1265	1392
476	1267	1390
477	1269	1386
478	1271	1383
479	1274	1380
480	1276	1377
481	1278	1374
482	1281	1371
483	1284	1369
484	1286	1365
485	1288	1362
486	1290	1359
487	1293	1357
488	1295	1353
489	1298	1351
490	1300	1348
491	1302	1345
492	1305	1342
493	1308	1339
494	1310	1336
495	1312	1333
496	1315	1331
497	1317	1328
498	1320	1325
499	1323	1323
500	1331	1326
501	1334	1323
502	1336	1320
503	1339	1317
504	1342	1315
505	1344	1313
506	1347	1310
507	1349	1307
508	1352	1304
509	1355	1302
510	1357	1299
511	1359	1296
512	1363	1294
513	1365	1290
514	1367	1288
515	1370	1285
516	1373	1283
517	1375	1280
518	1378	1277
519	1381	1275
520	1383	1271
521	1386	1269
522	1388	1266
523	1390	1263
524	1393	1260
525	1395	1257
526	1397	1254
527	1399	1251
528	1402	1248
529	1404	1245
530	1406	1242
531	1409	1239
532	1411	1237
533	1413	1233
534	1415	1230
535	1418	1227
536	1420	1224
537	1422	1221
538	1426	1220
539	1429	1217
540	1431	1214
541	1433	1211
542	1436	1208
543	1438	1205
544	1440	1202
545	1443	1200
546	1445	1196
547	1447	1193
548	1449	1190
549	1451	1187
550	1453	1184
551	1455	1181
552	1458	1179
553	1461	1176
554	1463	1173
555	1465	1170
556	1467	1167
557	1470	1164
558	1472	1161
559	1475	1159
560	1477	1156
561	1479	1152
562	1481	1149
563	1483	1147
564	1486	1144
565	1488	1141
566	1490	1138
567	1493	1135
568	1495	1132
569	1497	1129
570	1499	1126
571	1502	1123
572	1504	1121
573	1506	1118
574	1509	1115
575	1511	1112
576	1513	1109
577	1515	1106
578	1517	1103
579	1519	1100
580	1523	1098
581	1525	1095
582	1527	1092
583	1529	1089
584	1531	1086
585	1533	1083
586	1536	1080
587	1538	1078
588	1540	1075
589	1543	1072
590	1545	1069
591	1547	1066
592	1549	1063
593	1551	1060
594	1554	1058
595	1556	1055
596	1558	1052
597	1560	1049
598	1563	1046
599	1566	1044
600	1568	1041
601	1571	1038
602	1573	1036
603	1576	1033
604	1578	1030
605	1580	1027
606	1582	1024
607	1585	1022
608	1587	1019
609	1590	1016
610	1592	1013
611	1595	1011
612	1597	1008
613	1599	1005
614	1602	1003
615	1605	1000
616	1607	997
617	1609	995
618	1612	992
619	1614	989
620	1617	987
621	1620	984
622	1622	981
623	1624	979
624	1627	976
625	1629	973
626	1632	971
627	1635	968
628	1637	966
629	1639	963
630	1642	960
631	1644	957
632	1647	954
633	1649	952
634	1652	949
635	1654	947
636	1657	944
637	1659	941
638	1662	939
639	1664	936
640	1666	933
641	1668	930
642	1671	928
643	1674	925
644	1694	932
645	1696	929
646	1698	926
647	1701	924
648	1703	921
649	1706	918
650	1708	915
651	1711	913
652	1714	910
653	1716	908
654	1718	905
655	1721	902
656	1723	899
657	1726	897
658	1729	894
659	1732	892
660	1734	889
661	1736	886
662	1739	883
663	1742	881
664	1745	879
665	1747	876
666	1750	873
667	1753	871
668	1755	868
669	1758	865
670	1760	863
671	1763	860
672	1765	857
673	1767	854
674	1770	852
675	1772	849
676	1776	847
677	1778	844
678	1781	842
679	1784	839
680	1786	837
681	1791	835
682	1793	832
683	1795	829
684	1798	827
685	1801	824
686	1804	821
687	1807	819
688	1810	816
689	1812	814
690	1815	811
691	1818	809
692	1820	806
693	1824	804
694	1826	801
695	1829	798
696	1831	796
697	1834	793
698	1838	791
699	1841	789
700	1843	786
701	1846	783
702	1849	781
703	1851	778
704	1855	776
705	1857	773
706	1859	770
707	1862	768
708	1865	765
709	1867	762
710	1870	760
711	1873	757
712	1875	755
713	1878	752
714	1881	749
715	1883	747
716	1887	744
717	1889	742
718	1892	739
719	1894	736
720	1897	734
721	1899	731
722	1903	729
723	1905	726
724	1908	723
725	1911	721
726	1913	718
727	1916	715
728	1919	713
729	1922	710
730	1924	708
731	1927	705
732	1929	702
733	1932	700
734	1935	697
735	1938	695
736	1940	692
737	1943	689
738	1945	687
739	1948	684
740	1951	682
741	1953	679
742	1955	676
743	1959	674
744	1961	671
745	1964	668
746	1967	666
747	1969	663
748	1971	660
749	1974	658
750	1977	655
751	1979	652
752	1982	650
753	1985	647
754	1987	644
755	1990	642
756	1993	639
757	1995	637
758	1999	634
759	2001	631
760	2003	629
761	2006	626
762	2009	624
763	2011	621
764	2015	619
765	2017	616
766	2019	613
767	2022	611
768	2025	608
769	2028	605
770	2031	603
771	2033	600
772	2035	597
773	2038	595
774	2041	592
775	2045	590
776	2048	587
777	2063	588
778	2065	585
779	2068	583
780	2071	580
781	2073	578
782	2076	575
783	2079	572
784	2082	570
785	2085	567
786	2087	565
787	2089	562
788	2092	559
789	2095	557
790	2097	554
791	2099	551
792	2102	548
793	2105	546
794	2108	543
795	2111	541
796	2113	538
797	2116	535
798	2119	533
799	2121	530
800	2123	527
801	2126	525
802	2129	522
803	2131	519
804	2135	517
805	2137	514
806	2140	511
807	2143	509
808	2145	506
809	2148	504
810	2151	501
811	2154	498
812	2157	496
813	2160	493
814	2162	490
815	2165	488
816	2167	485
817	2170	482
818	2174	480
819	2176	477
820	2179	475
821	2182	472
822	2185	469
823	2189	467
824	2192	465
825	2195	462
826	2198	459
827	2201	457
828	2205	454
829	2208	452
830	2211	449
831	2213	447
832	2216	444
833	2219	441
834	2222	439
835	2224	436
836	2226	433
837	2229	430
838	2231	428
839	2233	425
840	2236	422
841	2239	420
842	2241	417
843	2243	414
844	2245	411
845	2248	409
846	2250	406
847	2253	403
848	2255	401
849	2257	398
850	2259	395
851	2261	392
852	2263	390
853	2265	387
854	2268	384
855	2270	381
856	2272	379
857	2275	376
858	2277	373
859	2280	371
860	2282	368
861	2285	365
862	2287	363
863	2289	360
864	2291	357
865	2293	354
866	2296	352
867	2298	349
868	2301	346
869	2303	344
870	2304	341
871	2306	338
872	2309	335
873	2311	333
874	2313	330
875	2315	327
876	2318	325
877	2320	322
878	2322	319
879	2324	317
880	2327	314
881	2329	311
882	2331	308
883	2334	306
884	2336	303
885	2338	300
886	2340	298
887	2342	295
888	2345	292
889	2347	290
890	2349	287
891	2352	284
892	2354	282
893	2356	279
894	2358	276
895	2360	273
896	2362	271
897	2365	268
898	2367	266
899	2369	263
900	2371	260
901	2373	257
902	2376	255
903	2378	252
904	2380	249
905	2382	247
906	2384	244
907	2387	241
908	2389	239
909	2391	236
910	2393	233
911	2395	231
912	2398	228
913	2400	225
914	2402	223
915	2404	220
916	2406	217
917	2408	215
918	2410	212
919	2413	209
920	2415	207
921	2418	204
922	2420	201
923	2423	199
924	2425	196
925	2427	193
926	2429	191
927	2432	188
928	2434	186
929	2436	183
930	2438	180
931	2440	178
932	2442	175
933	2445	172
934	2447	170
935	2449	167
936	2452	164
937	2454	162
938	2456	159
939	2459	156
940	2462	154
941	2464	151
942	2466	149
943	2469	146
944	2471	143
945	2473	141
946	2476	138
947	2479	135
948	2481	133
949	2483	130
950	2485	128
951	2487	125
952	2490	122
953	2494	120
954	2496	117
955	2498	114
956	2500	112
957	2502	109
958	2505	107
959	2507	104
960	2510	101
961	2512	99
962	2515	96
963	2518	94
964	2520	91
965	2523	88
966	2525	86
967	2528	83
968	2530	80
969	2532	78
970	2535	75
971	2537	73
972	2539	70
973	2542	67
974	2545	65
975	2547	62
976	2550	60
977	2552	57
978	2555	54
979	2558	52
980	2560	49
981	2562	46
982	2564	44
983	2567	41
984	2570	39
985	2572	36
986	2575	33
987	2578	31
988	2580	28
989	2583	26
990	2585	23
991	2588	20
992	2591	18
993	2594	15
994	2597	13
995	2599	10
996	2601	7
997	2603	5
998	2606	2
999	2609	0
