iter	RMSE
191	1.872980026
192	1.870678735
193	1.869443154
194	1.868291749
195	1.868063218
196	1.866570931
197	1.866368837
198	1.864690068
199	1.864509881
200	1.863126886
201	1.862271408
202	1.860341738
203	1.85921996
204	1.858475154
205	1.858302838
206	1.858136675
207	1.855567752
208	1.855135677
209	1.852789818
210	1.851841661
211	1.850064464
212	1.848646594
213	1.84731618
214	1.845653007
215	1.84549476
216	1.842615984
217	1.840008836
218	1.838922096
219	1.838768856
220	1.837413743
221	1.837291175
222	1.837108524
223	1.836758325
224	1.836620417
225	1.835371426
226	1.834203143
227	1.832012573
228	1.83060351
229	1.830244771
230	1.828659711
231	1.827782427
232	1.825724953
233	1.824537584
234	1.822103039
235	1.821793548
236	1.820732908
237	1.81896862
238	1.817818127
239	1.815643197
240	1.812478238
241	1.811965135
242	1.811857144
243	1.809866308
244	1.809749836
245	1.80852132
246	1.806747981
247	1.805267672
248	1.804200752
249	1.803480987
250	1.80086169
251	1.800004508
252	1.797508836
253	1.794555978
254	1.793034737
255	1.791981749
256	1.789810165
257	1.786519751
258	1.785073669
259	1.782662406
260	1.782589225
261	1.781812044
262	1.781588997
263	1.779972118
264	1.779894076
265	1.779818324
266	1.779744787
267	1.779562826
268	1.778535496
269	1.777061701
270	1.776992288
271	1.776097994
272	1.773848503
273	1.771983394
274	1.770137805
275	1.770076654
276	1.769399621
277	1.767281117
278	1.767199291
279	1.76659495
280	1.765278349
281	1.764076238
282	1.76208152
283	1.760994846
284	1.759885475
285	1.758882419
286	1.758244235
287	1.756991509
288	1.756381392
289	1.754672639
290	1.75282684
291	1.752770125
292	1.752715018
293	1.752150671
294	1.751469756
295	1.75141736
296	1.750284599
297	1.747817683
298	1.745943428
299	1.744905899
300	1.742783225
301	1.740863725
302	1.739739257
303	1.738602081
304	1.73553562
305	1.733722587
306	1.733058656
307	1.731967947
308	1.731081914
309	1.73002714
310	1.729615405
311	1.729383041
312	1.72819725
313	1.726576379
314	1.7247929
315	1.722554959
316	1.722513723
317	1.721165891
318	1.721001733
319	1.719074015
320	1.717381999
321	1.715666564
322	1.714716088
323	1.714677346
324	1.712998349
325	1.712004236
326	1.710667625
327	1.709167033
328	1.708545833
329	1.707378757
330	1.705814634
331	1.703932688
332	1.702784891
333	1.702163549
334	1.700842539
335	1.699527822
336	1.69775377
337	1.696559549
338	1.696525227
339	1.695793052
340	1.694074534
341	1.692657249
342	1.690993728
343	1.690169421
344	1.688588183
345	1.686743893
346	1.685977945
347	1.684411336
348	1.68285893
349	1.682059043
350	1.680609783
351	1.679723524
352	1.67871574
353	1.677264875
354	1.676453076
355	1.675823854
356	1.675213449
357	1.674202406
358	1.673316816
359	1.671729702
360	1.670364005
361	1.669688224
362	1.668043707
363	1.667132727
364	1.66690533
365	1.66523208
366	1.664090797
367	1.662703363
368	1.662182037
369	1.660777457
370	1.659220572
371	1.658684912
372	1.657604995
373	1.656327066
374	1.655822224
375	1.654634996
376	1.653731317
377	1.653035007
378	1.652364039
379	1.651178337
380	1.650208846
381	1.648974692
382	1.6475493
383	1.646433287
384	1.645019221
385	1.64427928
386	1.642535479
387	1.641590654
388	1.640741811
389	1.638388635
390	1.637598427
391	1.636784593
392	1.636221143
393	1.635549764
394	1.633606966
395	1.632396873
396	1.632176292
397	1.63076939
398	1.630042603
399	1.629361967
400	1.628378449
401	1.627246759
402	1.626807934
403	1.625203021
404	1.623975294
405	1.622969718
406	1.622561335
407	1.621865889
408	1.619929829
409	1.618814543
410	1.618625956
411	1.615669249
412	1.614810399
413	1.613933391
414	1.612434174
415	1.611114326
416	1.61027589
417	1.609790339
418	1.607130967
419	1.606624559
420	1.605688724
421	1.604854241
422	1.604801245
423	1.603367235
424	1.602272927
425	1.602091151
426	1.600560975
427	1.599754282
428	1.598358041
429	1.596901355
430	1.596065609
431	1.595701654
432	1.594374075
433	1.593592261
434	1.589984316
435	1.588605371
436	1.587804718
437	1.586455678
438	1.58486901
439	1.583893326
440	1.583431202
441	1.583364939
442	1.58329738
443	1.581495225
444	1.580677881
445	1.579687221
446	1.578218911
447	1.577304418
448	1.576585901
449	1.575855125
450	1.575403499
451	1.574585045
452	1.57350354
453	1.572096575
454	1.570916961
455	1.569870933
456	1.56908355
457	1.568168271
458	1.567214391
459	1.566396957
460	1.565440219
461	1.564910183
462	1.564844317
463	1.564007575
464	1.563425771
465	1.562513001
466	1.560929447
467	1.560049019
468	1.558535162
469	1.557407945
470	1.554812718
471	1.554273746
472	1.553660476
473	1.551559675
474	1.550918332
475	1.550813838
476	1.548356939
477	1.547467632
478	1.546314274
479	1.545595748
480	1.544537644
481	1.543452221
482	1.542403588
483	1.540074384
484	1.539406742
485	1.53834914
486	1.537400206
487	1.536410239
488	1.53616219
489	1.53531266
490	1.534680365
491	1.533951594
492	1.532900708
493	1.531969291
494	1.530625613
495	1.530053909
496	1.528160623
497	1.527798837
498	1.526552716
499	1.52615899
500	1.525549765
501	1.524829139
502	1.524199077
503	1.523485345
504	1.522686798
505	1.521888368
506	1.521030302
507	1.520265461
508	1.519325861
509	1.518652112
510	1.517822351
511	1.517734604
512	1.51698117
513	1.516391148
514	1.515946649
515	1.5150467
516	1.514716107
517	1.512892886
518	1.511975951
519	1.510315303
520	1.507186871
521	1.505933567
522	1.505195957
523	1.50435445
524	1.503696125
525	1.50292175
526	1.502128951
527	1.501110084
528	1.500448536
529	1.49888897
530	1.497990434
531	1.496779401
532	1.495611446
533	1.495141334
534	1.494512046
535	1.49338329
536	1.492246344
537	1.4911578
538	1.490183289
539	1.490175361
540	1.489022022
541	1.488144981
542	1.48639189
543	1.485687364
544	1.483608821
545	1.482990195
546	1.481740267
547	1.479916229
548	1.479849132
549	1.478744162
550	1.477133916
551	1.476274103
552	1.47490921
553	1.47401621
554	1.473400108
555	1.47264731
556	1.472115174
557	1.471250893
558	1.470222454
559	1.469570437
560	1.468786926
561	1.466860386
562	1.466358767
563	1.465633488
564	1.464757261
565	1.463828773
566	1.463164305
567	1.461763208
568	1.461483541
569	1.460608022
570	1.460157288
571	1.459116951
572	1.45879149
573	1.458190359
574	1.457490205
575	1.456541963
576	1.454865944
577	1.454042141
578	1.453243168
579	1.451698915
580	1.450872843
581	1.450774577
582	1.450329869
583	1.450235041
584	1.449313941
585	1.44922324
586	1.448136022
587	1.447375824
588	1.446638111
589	1.445367451
590	1.444818281
591	1.444728655
592	1.444029278
593	1.443350366
594	1.442691192
595	1.442047739
596	1.440691099
597	1.439592531
598	1.438695317
599	1.437394878
600	1.436604405
601	1.436357877
602	1.435502829
603	1.434888663
604	1.434135771
605	1.433539655
606	1.432368795
607	1.43228638
608	1.432206348
609	1.431565176
610	1.431033445
611	1.430505144
612	1.430078005
613	1.429441296
614	1.427833732
615	1.427254943
616	1.424492222
617	1.422994278
618	1.4223575
619	1.421798705
620	1.421649595
621	1.420697476
622	1.420114207
623	1.420037616
624	1.419888577
625	1.419306513
626	1.417827008
627	1.417683217
628	1.41760756
629	1.416880064
630	1.416806575
631	1.41492363
632	1.414785412
633	1.4146494
634	1.413362138
635	1.412656954
636	1.412524245
637	1.411644863
638	1.410393202
639	1.408591575
640	1.408462595
641	1.407608914
642	1.406325084
643	1.406199741
644	1.406077802
645	1.40571159
646	1.404727419
